2026-03-04T10:48:29Z [INFO] cryptotaxcalc.app: Loaded 51 routes.
2026-03-04T10:48:29Z [INFO] cryptotaxcalc.app: All core tables verified present.
2026-03-04T10:48:30Z [INFO] cryptotaxcalc.app: Startup completed successfully at 2026-03-04T09:48:30.941469+00:00
2026-03-04T10:48:30Z [INFO] cryptotaxcalc.app: Startup completed successfully at 2026-03-04T09:48:29Z
2026-03-04T10:48:31Z [INFO] cryptotaxcalc.app: GET /health -> 200 in 0.002s
2026-03-04T10:48:55Z [INFO] cryptotaxcalc.app: Loaded 51 routes.
2026-03-04T10:48:56Z [INFO] cryptotaxcalc.app: All core tables verified present.
2026-03-04T10:48:56Z [INFO] cryptotaxcalc.app: Startup completed successfully at 2026-03-04T09:48:56.648609+00:00
2026-03-04T10:48:56Z [INFO] cryptotaxcalc.app: Startup completed successfully at 2026-03-04T09:48:56Z
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /demo/dashboard -> 200 in 0.047s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /static/theme.css -> 200 in 0.053s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /static/dashboard_override.css -> 200 in 0.056s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /static/glow.js -> 200 in 0.058s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /static/dark_theme.png -> 404 in 0.012s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /static/light_theme.png -> 404 in 0.01s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /static/theme.js -> 200 in 0.011s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /static/img/icons/stage_back_black.png -> 200 in 0.004s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /static/img/icons/stage_back.png -> 200 in 0.008s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /logo/icon -> 200 in 0.008s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /static/img/icons/flag_hr.png -> 404 in 0.011s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /static/media/background_dark_gpu.webm -> 206 in 0.01s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /static/media/background_light_gpu.webm -> 206 in 0.011s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /static/vendor/chartjs/chart.umd.min.js -> 200 in 0.006s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /demo/manifest -> 200 in 0.002s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /demo/country_notes -> 200 in 0.003s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /status -> 200 in 0.005s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /demo/runs/recent -> 200 in 0.009s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /favicon.ico -> 200 in 0.001s
2026-03-04T10:48:57Z [INFO] cryptotaxcalc.app: GET /static/favicon.ico -> 200 in 0.003s
